duplicate_group_id,group_type,split,class,subcategory,stage4_relative_path,stage4_absolute_path,decision,reason,priority
6,CROSS_CLASS_CONFLICT,validation,Non-Recyclable,styrofoam_product,Non-Recyclable/styrofoam_product/SS-KH_ShippingGuideTypesOfProtectivePackaging_KH-HRO.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Non-Recyclable/styrofoam_product/SS-KH_ShippingGuideTypesOfProtectivePackaging_KH-HRO.png,EXCLUDE,Cross-class perceptual duplicate conflict; source labels disagree. No arbitrary relabeling performed.,HIGH
7,CROSS_CLASS_CONFLICT,train,Non-Recyclable,styrofoam_product,Non-Recyclable/styrofoam_product/the-drive-toward-sustainability-5050-1536x1536.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Non-Recyclable/styrofoam_product/the-drive-toward-sustainability-5050-1536x1536.png,EXCLUDE,Cross-class perceptual duplicate conflict; source labels disagree. No arbitrary relabeling performed.,HIGH
7,CROSS_CLASS_CONFLICT,test,Recyclable,paper_products,Recyclable/paper_products/the-drive-toward-sustainability-5050-1536x1536.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Recyclable/paper_products/the-drive-toward-sustainability-5050-1536x1536.png,EXCLUDE,Cross-class perceptual duplicate conflict; source labels disagree. No arbitrary relabeling performed.,HIGH
8,SAME_SPLIT_DUPLICATE,validation,Hazardous,e-waste,Hazardous/e-waste/electronic-waste-electronic-waste-old-computers-monitors-other-devices-to-recycle-109977003 - Copy.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/e-waste/electronic-waste-electronic-waste-old-computers-monitors-other-devices-to-recycle-109977003 - Copy.png,EXCLUDE,Same-class duplicate within same split; redundant copy excluded.,NORMAL
8,SAME_SPLIT_DUPLICATE,validation,Hazardous,e-waste,Hazardous/e-waste/electronic-recycling - Copy.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/e-waste/electronic-recycling - Copy.png,KEEP,Same-class duplicate within the same split; deterministically retained first path.,NORMAL
9,CROSS_CLASS_CONFLICT,validation,Non-Recyclable,ceramic_product,Non-Recyclable/ceramic_product/Beer_bottles_2018_G1.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Non-Recyclable/ceramic_product/Beer_bottles_2018_G1.png,EXCLUDE,Cross-class perceptual duplicate conflict; source labels disagree. No arbitrary relabeling performed.,HIGH
9,CROSS_CLASS_CONFLICT,test,Recyclable,glass_containers,Recyclable/glass_containers/800px-Beer_bottles_2018_G1.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Recyclable/glass_containers/800px-Beer_bottles_2018_G1.png,EXCLUDE,Cross-class perceptual duplicate conflict; source labels disagree. No arbitrary relabeling performed.,HIGH
10,SAME_SPLIT_DUPLICATE,test,Hazardous,e-waste,Hazardous/e-waste/Energiesparlampe_01_retouched - Copy.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/e-waste/Energiesparlampe_01_retouched - Copy.png,EXCLUDE,Same-class duplicate within same split; redundant copy excluded.,NORMAL
10,SAME_SPLIT_DUPLICATE,test,Hazardous,e-waste,Hazardous/e-waste/1200px-Energiesparlampe_01_retouched - Copy.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/e-waste/1200px-Energiesparlampe_01_retouched - Copy.png,KEEP,Same-class duplicate within the same split; deterministically retained first path.,NORMAL
11,CROSS_CLASS_CONFLICT,test,Non-Recyclable,ceramic_product,Non-Recyclable/ceramic_product/recycled-glass.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Non-Recyclable/ceramic_product/recycled-glass.png,EXCLUDE,Cross-class perceptual duplicate conflict; source labels disagree. No arbitrary relabeling performed.,HIGH
11,CROSS_CLASS_CONFLICT,test,Recyclable,glass_containers,Recyclable/glass_containers/recycled-glass.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Recyclable/glass_containers/recycled-glass.png,EXCLUDE,Cross-class perceptual duplicate conflict; source labels disagree. No arbitrary relabeling performed.,HIGH
