relative_path,filename,extension,input_stage,normalization,mean_r,mean_g,mean_b,std_r,std_g,std_b,image_size,input_mode,status
Hazardous/batteries/41598_2013_Article_BFsrep01946_Fig1_HTML.png,41598_2013_Article_BFsrep01946_Fig1_HTML.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/800px-Alkali_battery_5.png,800px-Alkali_battery_5.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/AA_matchstick-1.png,AA_matchstick-1.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/AMP-17_61f252bb2428a.png,AMP-17_61f252bb2428a.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/AdobeStock_58870390.png,AdobeStock_58870390.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Alkaline-Batteries-What-Battery-Suppliers-Consider-Their-Advantages--e1538514638890.png,Alkaline-Batteries-What-Battery-Suppliers-Consider-Their-Advantages--e1538514638890.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Alkaline-Battery-vs-Lithium-Battery.png,Alkaline-Battery-vs-Lithium-Battery.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Alkaline-batteries.png,Alkaline-batteries.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Alkaline-vs.-Lithium-Batteries.png,Alkaline-vs.-Lithium-Batteries.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Batteries-.png,Batteries-.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Batteries3.png,Batteries3.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Batteries_-Lithium-Ion-Battery-and-Lithium-Polymer-Battery-Explained.png,Batteries_-Lithium-Ion-Battery-and-Lithium-Polymer-Battery-Explained.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Cutaway-view-dioxide-power-cell.png,Cutaway-view-dioxide-power-cell.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Difference-Between-Alkaline-and-Lithium-Batteries-Tabular-Form.png,Difference-Between-Alkaline-and-Lithium-Batteries-Tabular-Form.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Different-Types-of-Batteries.png,Different-Types-of-Batteries.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/EDR-2.png,EDR-2.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/EG-BA-LR20-01_hires_photo---dea0b151-d0a5-4bac-9036-259aa2110a20.JPG.png,EG-BA-LR20-01_hires_photo---dea0b151-d0a5-4bac-9036-259aa2110a20.JPG.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Eneloop_6420.png,Eneloop_6420.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Intro-to-batteries-featured.png,Intro-to-batteries-featured.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Li-Batteries-for-Disposal-or-Recycling-1024x575.png,Li-Batteries-for-Disposal-or-Recycling-1024x575.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Life-cycle-inventory-of-Li-ion-battery-Ecoinvent-30-Battery-Li-ion-rechargeable.png,Life-cycle-inventory-of-Li-ion-battery-Ecoinvent-30-Battery-Li-ion-rechargeable.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Lithium-Batteries-vs-Alkaline-Batteries.png,Lithium-Batteries-vs-Alkaline-Batteries.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Lithium-Batteries.png,Lithium-Batteries.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Lithium-ion-lithium-polymer-superhero-battery-blog-cover-image.png,Lithium-ion-lithium-polymer-superhero-battery-blog-cover-image.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Lithium-ion_battery.png,Lithium-ion_battery.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Lithium20batttery20pic.png,Lithium20batttery20pic.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Lithium_battery_terminal_image_EN.png,Lithium_battery_terminal_image_EN.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/NAWMA-Safe-Battery-Recycling-content.png,NAWMA-Safe-Battery-Recycling-content.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Nokia_Battery.png,Nokia_Battery.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Photo-collage-of-different-types-of-batteries-12022022.jpg.png,Photo-collage-of-different-types-of-batteries-12022022.jpg.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Primary-battery-types.png,Primary-battery-types.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Screen-Shot-2021-07-20-at-10.37.08-AM.png,Screen-Shot-2021-07-20-at-10.37.08-AM.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/The_ultimate_comparative_analysis_of_carbon_zinc_battery_vs_alkaline_800x.png,The_ultimate_comparative_analysis_of_carbon_zinc_battery_vs_alkaline_800x.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Types-of-Batteries-1.png,Types-of-Batteries-1.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Types-of-Batteries-Featured-Image.png,Types-of-Batteries-Featured-Image.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Types-of-Batteries.png,Types-of-Batteries.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Types-of-BatteriesPrimary-and-Secondary.png,Types-of-BatteriesPrimary-and-Secondary.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/Types-of-rechargeable-batteries-.png,Types-of-rechargeable-batteries-.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/TypesofBatteries.png,TypesofBatteries.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/What_Batteries_are_Best_for_Flashlights_2991x.png,What_Batteries_are_Best_for_Flashlights_2991x.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/aenm202102917-fig-0006-m.png,aenm202102917-fig-0006-m.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/alkaline-batteries-for-recyling.png,alkaline-batteries-for-recyling.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/alkaline-battery_en.png,alkaline-battery_en.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/alkaline-zinc-carbon.png,alkaline-zinc-carbon.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/basic-lithium-ion-battery-5-2_en.png,basic-lithium-ion-battery-5-2_en.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/batterien_seen_fotolia_26510842_m.png,batterien_seen_fotolia_26510842_m.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/batteries-04-00007-g002.png,batteries-04-00007-g002.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/batteries-05-00068-g001.png,batteries-05-00068-g001.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/batteries-scaled.png,batteries-scaled.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/batteries2.png,batteries2.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/batteries20in20a20pile20WEEE.png,batteries20in20a20pile20WEEE.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/batteries_as_hero.png,batteries_as_hero.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/battery-directive-european-union.png,battery-directive-european-union.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/battery-recycling.png,battery-recycling.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/battery-recycling2.png,battery-recycling2.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/battery-types-and-sizes.jpg.png,battery-types-and-sizes.jpg.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/battery_recycling.png,battery_recycling.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/battery_sizing.png,battery_sizing.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/bu-social.png,bu-social.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/carbon-zinc-battery-vs-alkaline.png,carbon-zinc-battery-vs-alkaline.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/collected-to-take-to-be-recycled-rather-than-be-dumped-into-landfill-2GDCM0M.png,collected-to-take-to-be-recycled-rather-than-be-dumped-into-landfill-2GDCM0M.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/common-alkaline-battery-sizes.png,common-alkaline-battery-sizes.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/creens-LCD-iPhone-panels-laptop-collected-for-disposal-in-plastic-containers.png,creens-LCD-iPhone-panels-laptop-collected-for-disposal-in-plastic-containers.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/d1ma00216c-f4_hi-res.png,d1ma00216c-f4_hi-res.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/d1ma00216c-f6_hi-res.png,d1ma00216c-f6_hi-res.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/ef1c02489_0011.png,ef1c02489_0011.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/energizer-cold-weather-lithium-aa-battery.png,energizer-cold-weather-lithium-aa-battery.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/fenrg-08-571440-g001.png,fenrg-08-571440-g001.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/file-20201020-17-1x28u8s.png,file-20201020-17-1x28u8s.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/image-2-716x1024.png,image-2-716x1024.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/imageqz6zbg.png,imageqz6zbg.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/imagescxsuu.png,imagescxsuu.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/inf212000-fig-0001-m.png,inf212000-fig-0001-m.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/know-what-type-of-battery-to-use-in-equipment2.png,know-what-type-of-battery-to-use-in-equipment2.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/lifecycleimagebatteries.png,lifecycleimagebatteries.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/lithium-ion-aa-batteries.png,lithium-ion-aa-batteries.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/lithium-ion-batteries3.png,lithium-ion-batteries3.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/lithium-ion-watt-hours-highlighted.png,lithium-ion-watt-hours-highlighted.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/lithium-vs-alkaline-batteries-where-the-differences-and-which-is-better.png,lithium-vs-alkaline-batteries-where-the-differences-and-which-is-better.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/lithium-vs-alkaline-batteries.png,lithium-vs-alkaline-batteries.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/machinedesign_7204_pulse_plus_batteries_promo_0.png,machinedesign_7204_pulse_plus_batteries_promo_0.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/maxresdefault.png,maxresdefault.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/non-rechargeable-batteries-product-image_0.png,non-rechargeable-batteries-product-image_0.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/photo_news_lithium_batteries_1100x500_NEW.png,photo_news_lithium_batteries_1100x500_NEW.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/power-one-c-size-1-5v-battery-pack-of-2--500x500.png,power-one-c-size-1-5v-battery-pack-of-2--500x500.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/poweron-longlife-power-9v-mrp-265.png,poweron-longlife-power-9v-mrp-265.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/rechargeable-battery-2048px-5925.png,rechargeable-battery-2048px-5925.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/rechargeable-battery-2048px-5939.png,rechargeable-battery-2048px-5939.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/rechargeable-battery-2048px-5963-2x1-1.png,rechargeable-battery-2048px-5963-2x1-1.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/sc0c04940_0022.png,sc0c04940_0022.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/sciadv.abm2422-f1.png,sciadv.abm2422-f1.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/smtd202000039-fig-0001-m.png,smtd202000039-fig-0001-m.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/spent-batteries-CNBG3H.png,spent-batteries-CNBG3H.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/suschem-02-00011-g001.png,suschem-02-00011-g001.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/technology-0-1.png,technology-0-1.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/thehistoryan.png,thehistoryan.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/typical-lithium-ion-battery.png,typical-lithium-ion-battery.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/un3480.png,un3480.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/using-alkaline-batteries-in-your-application.png,using-alkaline-batteries-in-your-application.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/van_dragt_102517_0032_how_to_choose_batteries.png,van_dragt_102517_0032_how_to_choose_batteries.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/what-is-a-lithium-ion-battery-what-are-the-types-of-lithium-ion-battery-chemistries.png,what-is-a-lithium-ion-battery-what-are-the-types-of-lithium-ion-battery-chemistries.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/e-waste/-1x-1 - Copy.png,-1x-1 - Copy.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/e-waste/-august-heap-of-broken-smartphone-screen-e-waste-electronic-waste-1100705909 - Copy.png,-august-heap-of-broken-smartphone-screen-e-waste-electronic-waste-1100705909 - Copy.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/e-waste/-garbage-sorting-eco-friendly-sign-for-web-page-app-ui-ux-gui-design-2CPCA8A - Copy.png,-garbage-sorting-eco-friendly-sign-for-web-page-app-ui-ux-gui-design-2CPCA8A - Copy.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/e-waste/-mixed-electronic-waste-old-broken-computer-parts-and-cell-phones-1545599141 - Copy.png,-mixed-electronic-waste-old-broken-computer-parts-and-cell-phones-1545599141 - Copy.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/e-waste/0.40042800_1555498967_e-waste2 - Copy.png,0.40042800_1555498967_e-waste2 - Copy.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/e-waste/01-e-waste-millions-tons - Copy.png,01-e-waste-millions-tons - Copy.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/e-waste/01-e-waste-millions-tons_square - Copy.png,01-e-waste-millions-tons_square - Copy.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/e-waste/02bulb-web2-1454343899851-superJumbo - Copy.png,02bulb-web2-1454343899851-superJumbo - Copy.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/e-waste/04801E3UVtxDTDY9ek1ovu0-3..v1618408208 - Copy.png,04801E3UVtxDTDY9ek1ovu0-3..v1618408208 - Copy.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/e-waste/09109-scicon-lightbulbcxd - Copy.png,09109-scicon-lightbulbcxd - Copy.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/e-waste/1-compact-fluorescent-bird-lamp-full-spectrum-lighting-bulb-2-4-original-imag9836wgsrnaev - Copy.png,1-compact-fluorescent-bird-lamp-full-spectrum-lighting-bulb-2-4-original-imag9836wgsrnaev - Copy.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/e-waste/1-s2.0-S2352186421006970-gr4 - Copy.png,1-s2.0-S2352186421006970-gr4 - Copy.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/e-waste/1000_F_137113944_B7B2w62hhwjr7dWy8R5nYwwlHIwCRu6S - Copy.png,1000_F_137113944_B7B2w62hhwjr7dWy8R5nYwwlHIwCRu6S - Copy.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/e-waste/1200px-Energiesparlampe_01_retouched - Copy.png,1200px-Energiesparlampe_01_retouched - Copy.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/e-waste/1200px-Ewaste-pile - Copy.png,1200px-Ewaste-pile - Copy.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/e-waste/1200px-Handy_schrott_mobile_phone_scrap - Copy.png,1200px-Handy_schrott_mobile_phone_scrap - Copy.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/e-waste/129249_iStock-636655004---Hero - Copy.png,129249_iStock-636655004---Hero - Copy.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/e-waste/1464951746_U1GPlR_e-waste-IndiaBLO-870 - Copy.png,1464951746_U1GPlR_e-waste-IndiaBLO-870 - Copy.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
